pos,streamOwner,treeFrac,mergeFrac,treeChanged,mergeChanged
2,1.25,0.1129,0.1503,7,13
3,8.42,0.2742,0.6949,17,60
4,1.75,0.1129,0.1815,7,15.67
5,11.08,0.1774,0.3823,11,33
6,6.25,0.1452,0.2761,9,23.83
7,4.33,0.1613,0.2788,10,24.08
8,3.75,0.1613,0.2797,10,24
9,2.83,0.1613,0.2735,10,23.5
10,1.92,0.2419,0.1785,15,15.5
11,9.5,0.1613,0.1822,10,15.75
12,12.75,0.3065,0.6023,19,51.92
13,1.67,0.1129,0.1685,7,14.5
14,2.83,0.1129,0.1773,7,15.25
15,2.08,0.1774,0.1592,11,13.83
16,8.08,0.2419,0.1834,15,16
