size,algorithm,position,own,equal,notEqual,newBody,sameBody,nonThunk,onlyLeft,onlyRight,redone,garbage
64,lazy-inductive,2,844,771,15,12,0,3,58,0,12,58
64,lazy-inductive,3,844,612,163,156,2,5,69,11,169,69
64,lazy-inductive,4,844,803,23,18,2,3,18,0,20,18
64,lazy-inductive,5,844,791,33,25,4,4,20,6,35,20
64,lazy-inductive,6,844,802,25,18,3,4,17,1,22,17
64,lazy-inductive,7,844,800,27,19,4,4,17,1,24,17
64,lazy-inductive,8,844,803,24,15,5,4,17,1,21,17
64,lazy-inductive,9,844,806,23,16,3,4,15,0,19,15
64,lazy-inductive,10,844,797,30,15,12,3,17,0,27,17
64,lazy-inductive,11,844,813,18,8,7,3,13,0,15,13
64,lazy-inductive,12,844,763,57,46,6,5,24,13,65,24
64,lazy-inductive,13,844,810,20,12,5,3,14,0,17,14
64,lazy-inductive,14,844,809,21,17,1,3,14,0,18,14
64,lazy-inductive,15,844,807,24,15,6,3,13,0,21,13
64,lazy-inductive,16,844,788,36,31,2,3,20,0,33,20
64,lazy-inductive,17,844,705,97,88,4,5,42,22,114,42
64,lazy-inductive,18,844,799,29,21,4,4,16,1,26,16
64,lazy-inductive,19,844,806,25,21,1,3,13,0,22,13
64,lazy-inductive,20,844,815,16,10,3,3,13,0,13,13
64,lazy-inductive,21,844,816,15,10,2,3,13,0,12,13
64,lazy-inductive,22,844,790,38,31,2,5,16,1,34,16
64,lazy-inductive,23,844,813,19,11,5,3,12,0,16,12
64,lazy-inductive,24,844,755,60,50,6,4,29,11,67,29
64,lazy-inductive,25,844,781,45,39,2,4,18,3,44,18
64,lazy-inductive,26,844,800,27,18,5,4,17,1,24,17
64,lazy-inductive,27,844,811,21,14,4,3,12,0,18,12
64,lazy-inductive,28,844,786,42,29,8,5,16,4,41,16
64,lazy-inductive,29,844,805,22,11,8,3,17,0,19,17
64,lazy-inductive,30,844,808,20,14,3,3,16,0,17,16
64,lazy-inductive,31,844,806,22,12,7,3,16,0,19,16
64,lazy-inductive,32,844,812,17,10,4,3,15,0,14,15
64,lazy-inductive,33,844,764,53,39,9,5,27,12,60,27
64,lazy-inductive,34,844,807,21,11,6,4,16,1,18,16
64,lazy-inductive,35,844,816,18,14,1,3,10,0,15,10
64,lazy-inductive,36,844,817,16,13,0,3,11,0,13,11
64,lazy-inductive,37,844,798,30,19,7,4,16,3,29,16
64,lazy-inductive,38,844,795,36,17,16,3,13,0,33,13
64,lazy-inductive,39,844,613,161,137,18,6,70,64,219,70
64,lazy-inductive,40,844,811,20,14,2,4,13,2,18,13
64,lazy-inductive,41,844,812,20,14,2,4,12,1,17,12
64,lazy-inductive,42,844,771,50,44,3,3,23,0,47,23
64,lazy-inductive,43,844,727,87,76,5,6,30,8,89,30
64,lazy-inductive,44,844,811,20,15,2,3,13,0,17,13
64,lazy-inductive,45,844,799,31,25,2,4,14,2,29,14
64,lazy-inductive,46,844,804,25,20,2,3,15,0,22,15
64,lazy-inductive,47,844,744,72,50,16,6,28,15,81,28
64,lazy-inductive,48,844,808,21,13,4,4,15,1,18,15
64,lazy-inductive,49,844,802,27,23,1,3,15,0,24,15
64,lazy-inductive,50,844,788,37,31,2,4,19,4,37,19
64,lazy-inductive,51,844,789,34,23,7,4,21,4,34,21
64,lazy-inductive,52,844,792,33,23,6,4,19,2,31,19
64,lazy-inductive,53,844,804,25,15,6,4,15,0,21,15
64,lazy-inductive,54,844,797,27,13,11,3,20,0,24,20
64,lazy-inductive,55,844,805,20,8,9,3,19,0,17,19
64,lazy-inductive,56,844,809,22,16,3,3,13,0,19,13
64,lazy-inductive,57,844,799,28,20,4,4,17,6,30,17
64,lazy-inductive,58,844,809,25,18,4,3,10,0,22,10
64,lazy-inductive,59,844,788,36,31,1,4,20,5,37,20
64,lazy-inductive,60,844,797,31,23,4,4,16,0,27,16
64,lazy-inductive,61,844,803,25,14,7,4,16,0,21,16
64,lazy-inductive,62,844,809,20,11,6,3,15,0,17,15
64,lazy-inductive,63,844,803,26,14,9,3,15,0,23,15
64,lazy-inductive,64,844,789,35,22,10,3,20,0,32,20
64,lazy-cartesian,2,844,771,15,12,0,3,58,0,12,58
64,lazy-cartesian,3,844,608,171,165,1,5,65,7,173,65
64,lazy-cartesian,4,844,795,29,24,2,3,20,2,28,20
64,lazy-cartesian,5,844,800,27,18,5,4,17,3,26,17
64,lazy-cartesian,6,844,802,23,16,3,4,19,3,22,19
64,lazy-cartesian,7,844,798,26,17,5,4,20,4,26,20
64,lazy-cartesian,8,844,802,23,13,6,4,19,3,22,19
64,lazy-cartesian,9,844,806,22,15,3,4,16,1,19,16
64,lazy-cartesian,10,844,791,32,17,12,3,21,4,33,21
64,lazy-cartesian,11,844,811,19,9,7,3,14,1,17,14
64,lazy-cartesian,12,844,759,65,53,7,5,20,9,69,20
64,lazy-cartesian,13,844,804,21,13,5,3,19,5,23,19
64,lazy-cartesian,14,844,807,21,17,1,3,16,2,20,16
64,lazy-cartesian,15,844,805,23,15,5,3,16,3,23,16
64,lazy-cartesian,16,844,784,36,32,1,3,24,4,37,24
64,lazy-cartesian,17,844,752,64,55,4,5,28,8,67,28
64,lazy-cartesian,18,844,787,34,26,4,4,23,8,38,23
64,lazy-cartesian,19,844,805,24,20,1,3,15,2,23,15
64,lazy-cartesian,20,844,812,16,11,2,3,16,3,16,16
64,lazy-cartesian,21,844,812,17,12,2,3,15,2,16,15
64,lazy-cartesian,22,844,786,36,30,1,5,22,7,38,22
64,lazy-cartesian,23,844,811,19,11,5,3,14,2,18,14
64,lazy-cartesian,24,844,789,34,24,6,4,21,3,33,21
64,lazy-cartesian,25,844,776,51,45,2,4,17,2,49,17
64,lazy-cartesian,26,844,800,24,15,5,4,20,4,24,20
64,lazy-cartesian,27,844,798,28,21,4,3,18,6,31,18
64,lazy-cartesian,28,844,781,46,34,7,5,17,5,46,17
