shape,position,space,own,equal,newBody,sameBody,nonThunk,onlyLeft,onlyRight
#levelTree,2,inputTree,255,252,0,0,1,2,0
#levelTree,2,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,2,merge,1,0,0,0,1,0,0
#levelTree,2,mergeSort,1253,1127,72,0,0,54,0
#levelTree,3,inputTree,255,250,0,0,3,2,0
#levelTree,3,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,3,merge,1,0,0,0,1,0,0
#levelTree,3,mergeSort,1253,841,272,10,0,130,18
#levelTree,4,inputTree,255,252,0,0,1,2,0
#levelTree,4,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,4,merge,1,0,0,0,1,0,0
#levelTree,4,mergeSort,1253,1228,9,5,0,11,0
#levelTree,5,inputTree,255,251,0,0,2,2,0
#levelTree,5,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,5,merge,1,0,0,0,1,0,0
#levelTree,5,mergeSort,1253,1218,16,4,0,15,2
#levelTree,6,inputTree,255,251,0,0,2,2,0
#levelTree,6,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,6,merge,1,0,0,0,1,0,0
#levelTree,6,mergeSort,1253,1218,20,2,0,13,1
#levelTree,7,inputTree,255,251,0,0,2,2,0
#levelTree,7,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,7,merge,1,0,0,0,1,0,0
#levelTree,7,mergeSort,1253,1216,13,7,0,17,2
#levelTree,8,inputTree,255,251,0,0,2,2,0
#levelTree,8,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,8,merge,1,0,0,0,1,0,0
#levelTree,8,mergeSort,1253,1225,10,5,0,13,1
#levelTree,9,inputTree,255,251,0,0,2,2,0
#levelTree,9,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,9,merge,1,0,0,0,1,0,0
#levelTree,9,mergeSort,1253,1224,16,2,0,11,0
#levelTree,10,inputTree,255,252,0,0,1,2,0
#levelTree,10,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,10,merge,1,0,0,0,1,0,0
#levelTree,10,mergeSort,1253,1218,7,12,0,16,0
#levelTree,11,inputTree,255,252,0,0,1,2,0
#levelTree,11,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,11,merge,1,0,0,0,1,0,0
#levelTree,11,mergeSort,1253,1224,10,7,0,12,0
#levelTree,12,inputTree,255,250,0,0,3,2,0
#levelTree,12,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,12,merge,1,0,0,0,1,0,0
#levelTree,12,mergeSort,1253,1181,42,7,0,23,12
#levelTree,13,inputTree,255,252,0,0,1,2,0
#levelTree,13,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,13,merge,1,0,0,0,1,0,0
#levelTree,13,mergeSort,1253,1230,8,4,0,11,0
#levelTree,14,inputTree,255,252,0,0,1,2,0
#levelTree,14,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,14,merge,1,0,0,0,1,0,0
#levelTree,14,mergeSort,1253,1219,20,2,0,12,0
#levelTree,15,inputTree,255,252,0,0,1,2,0
#levelTree,15,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,15,merge,1,0,0,0,1,0,0
#levelTree,15,mergeSort,1253,1230,6,6,0,11,0
#levelTree,16,inputTree,255,252,0,0,1,2,0
#levelTree,16,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,16,merge,1,0,0,0,1,0,0
#levelTree,16,mergeSort,1253,1223,12,4,0,14,0
#levelTree,17,inputTree,255,250,0,0,3,2,0
#levelTree,17,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,17,merge,1,0,0,0,1,0,0
#levelTree,17,mergeSort,1253,1129,74,6,0,44,30
#levelTree,18,inputTree,255,251,0,0,2,2,0
#levelTree,18,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,18,merge,1,0,0,0,1,0,0
#levelTree,18,mergeSort,1253,1223,14,4,0,12,1
#levelTree,19,inputTree,255,252,0,0,1,2,0
#levelTree,19,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,19,merge,1,0,0,0,1,0,0
#levelTree,19,mergeSort,1253,1225,14,2,0,12,0
#levelTree,20,inputTree,255,252,0,0,1,2,0
#levelTree,20,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,20,merge,1,0,0,0,1,0,0
#levelTree,20,mergeSort,1253,1227,7,7,0,12,0
#levelTree,21,inputTree,255,252,0,0,1,2,0
#levelTree,21,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,21,merge,1,0,0,0,1,0,0
#levelTree,21,mergeSort,1253,1224,12,5,0,12,0
#levelTree,22,inputTree,255,250,0,0,3,2,0
#levelTree,22,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,22,merge,1,0,0,0,1,0,0
#levelTree,22,mergeSort,1253,1217,19,3,0,14,2
#levelTree,23,inputTree,255,252,0,0,1,2,0
#levelTree,23,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,23,merge,1,0,0,0,1,0,0
#levelTree,23,mergeSort,1253,1226,11,5,0,11,0
#levelTree,24,inputTree,255,251,0,0,2,2,0
#levelTree,24,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,24,merge,1,0,0,0,1,0,0
#levelTree,24,mergeSort,1253,1171,50,3,0,29,10
#levelTree,25,inputTree,255,251,0,0,2,2,0
#levelTree,25,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,25,merge,1,0,0,0,1,0,0
#levelTree,25,mergeSort,1253,1193,28,8,0,24,4
#levelTree,26,inputTree,255,251,0,0,2,2,0
#levelTree,26,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,26,merge,1,0,0,0,1,0,0
