size,algorithm,position,own,equal,notEqual,newBody,sameBody,nonThunk,onlyLeft,onlyRight,redone,garbage
128,lazy-inductive/level-tree,2,1510,1380,74,72,0,2,56,0,72,56
128,lazy-inductive/level-tree,3,1510,1092,286,272,10,4,132,18,300,132
128,lazy-inductive/level-tree,4,1510,1481,16,9,5,2,13,0,14,13
128,lazy-inductive/level-tree,5,1510,1470,23,16,4,3,17,2,22,17
128,lazy-inductive/level-tree,6,1510,1470,25,20,2,3,15,1,23,15
128,lazy-inductive/level-tree,7,1510,1468,23,13,7,3,19,2,22,19
128,lazy-inductive/level-tree,8,1510,1477,18,10,5,3,15,1,16,15
128,lazy-inductive/level-tree,9,1510,1476,21,16,2,3,13,0,18,13
128,lazy-inductive/level-tree,10,1510,1471,21,7,12,2,18,0,19,18
128,lazy-inductive/level-tree,11,1510,1477,19,10,7,2,14,0,17,14
128,lazy-inductive/level-tree,12,1510,1432,53,42,7,4,25,12,61,25
128,lazy-inductive/level-tree,13,1510,1483,14,8,4,2,13,0,12,13
128,lazy-inductive/level-tree,14,1510,1472,24,20,2,2,14,0,22,14
128,lazy-inductive/level-tree,15,1510,1483,14,6,6,2,13,0,12,13
128,lazy-inductive/level-tree,16,1510,1476,18,12,4,2,16,0,16,16
128,lazy-inductive/level-tree,17,1510,1380,84,74,6,4,46,30,110,46
128,lazy-inductive/level-tree,18,1510,1475,21,14,4,3,14,1,19,14
128,lazy-inductive/level-tree,19,1510,1478,18,14,2,2,14,0,16,14
128,lazy-inductive/level-tree,20,1510,1480,16,7,7,2,14,0,14,14
128,lazy-inductive/level-tree,21,1510,1477,19,12,5,2,14,0,17,14
128,lazy-inductive/level-tree,22,1510,1468,26,19,3,4,16,2,24,16
128,lazy-inductive/level-tree,23,1510,1479,18,11,5,2,13,0,16,13
128,lazy-inductive/level-tree,24,1510,1423,56,50,3,3,31,10,63,31
128,lazy-inductive/level-tree,25,1510,1445,39,28,8,3,26,4,40,26
128,lazy-inductive/level-tree,26,1510,1473,20,9,8,3,17,1,18,17
128,lazy-inductive/level-tree,27,1510,1478,19,12,5,2,13,0,17,13
128,lazy-inductive/level-tree,28,1510,1464,29,18,7,4,17,3,28,17
128,lazy-inductive/level-tree,29,1510,1474,19,8,9,2,17,0,17,17
128,lazy-inductive/level-tree,30,1510,1476,19,13,4,2,15,0,17,15
128,lazy-inductive/level-tree,31,1510,1476,18,8,8,2,16,0,16,16
128,lazy-inductive/level-tree,32,1510,1473,19,12,5,2,18,0,17,18
128,lazy-inductive/level-tree,33,1510,1444,39,27,8,4,27,9,44,27
128,lazy-inductive/level-tree,34,1510,1467,25,14,8,3,18,1,23,18
128,lazy-inductive/level-tree,35,1510,1476,17,7,8,2,17,0,15,17
128,lazy-inductive/level-tree,36,1510,1480,15,12,1,2,15,0,13,15
128,lazy-inductive/level-tree,37,1510,1469,25,16,6,3,16,1,23,16
128,lazy-inductive/level-tree,38,1510,1479,16,8,6,2,15,0,14,15
128,lazy-inductive/level-tree,39,1510,1284,153,144,4,5,73,69,217,73
128,lazy-inductive/level-tree,40,1510,1458,34,27,4,3,18,1,32,18
128,lazy-inductive/level-tree,41,1510,1471,25,17,5,3,14,1,23,14
128,lazy-inductive/level-tree,42,1510,1479,19,13,4,2,12,0,17,12
128,lazy-inductive/level-tree,43,1510,1404,76,64,7,5,30,14,85,30
128,lazy-inductive/level-tree,44,1510,1477,19,10,7,2,14,0,17,14
128,lazy-inductive/level-tree,45,1510,1466,31,25,3,3,13,1,29,13
128,lazy-inductive/level-tree,46,1510,1480,16,9,5,2,14,0,14,14
128,lazy-inductive/level-tree,47,1510,1424,55,40,10,5,31,16,66,31
128,lazy-inductive/level-tree,48,1510,1468,24,14,7,3,18,1,22,18
128,lazy-inductive/level-tree,49,1510,1476,21,16,3,2,13,0,19,13
128,lazy-inductive/level-tree,50,1510,1446,38,30,5,3,26,7,42,26
128,lazy-inductive/level-tree,51,1510,1465,24,11,10,3,21,2,23,21
128,lazy-inductive/level-tree,52,1510,1472,22,14,5,3,16,2,21,16
128,lazy-inductive/level-tree,53,1510,1473,23,15,5,3,14,0,20,14
128,lazy-inductive/level-tree,54,1510,1458,30,11,17,2,22,0,28,22
128,lazy-inductive/level-tree,55,1510,1470,19,4,13,2,21,0,17,21
128,lazy-inductive/level-tree,56,1510,1472,19,8,9,2,19,0,17,19
128,lazy-inductive/level-tree,57,1510,1461,26,12,11,3,23,6,29,23
128,lazy-inductive/level-tree,58,1510,1481,17,15,0,2,12,0,15,12
128,lazy-inductive/level-tree,59,1510,1455,31,25,3,3,24,8,36,24
128,lazy-inductive/level-tree,60,1510,1461,30,21,6,3,19,1,28,19
128,lazy-inductive/level-tree,61,1510,1467,24,12,9,3,19,1,22,19
