size,algorithm,position,own,equal,notEqual,newBody,sameBody,nonThunk,onlyLeft,onlyRight,redone,garbage
64,lazy-inductive,3,844,612,163,156,2,5,69,11,169,69
64,lazy-cartesian,3,844,608,171,165,1,5,65,7,173,65
64,lazy-pathwise,3,844,298,149,143,1,5,397,339,483,397
64,eager-split,3,1067,723,157,140,1,16,187,160,301,187
128,lazy-inductive,3,1895,1452,309,293,11,5,134,18,322,134
128,lazy-cartesian,3,1895,1441,327,312,10,5,127,11,333,127
128,lazy-pathwise,3,1895,611,299,293,1,5,985,869,1163,985
128,eager-split,3,2352,1441,281,274,1,6,630,605,880,630
256,lazy-inductive,3,3958,3126,570,554,11,5,262,17,582,262
256,lazy-cartesian,3,3958,3106,587,571,11,5,265,20,602,265
256,lazy-pathwise,3,3958,1251,538,532,1,5,2169,1924,2457,2169
256,eager-split,3,5227,3522,537,532,1,4,1168,1111,1644,1168
512,lazy-inductive,320,9138,7168,1451,1436,9,6,519,270,1715,519
512,lazy-cartesian,320,9138,7207,1580,1564,10,6,351,102,1676,351
512,lazy-pathwise,320,9138,4324,1187,1171,10,6,3627,3378,4559,3627
512,eager-split,320,11342,9010,1062,1033,9,20,1270,1222,2264,1270
1024,lazy-inductive,586,18730,14781,2916,2878,29,9,1033,714,3621,1033
1024,lazy-cartesian,586,18730,14532,3583,3555,19,9,615,296,3870,615
1024,lazy-pathwise,586,18730,11927,2797,2757,31,9,4006,3687,6475,4006
1024,eager-split,586,25059,19965,2173,2060,18,95,2921,2817,4895,2921
