seed,size,pos,left,right,onlyLeft,onlyRight,equal,notEqual
5382,16,3,80,76,4,0,60,16
1826,16,4,80,76,4,0,70,6
25462,16,8,80,76,4,0,67,9
3546,16,6,80,76,4,0,68,8
19663,16,10,80,76,4,0,62,14
10857,16,9,80,76,4,0,67,9
19639,16,4,80,76,4,0,70,6
10962,16,14,80,76,4,0,70,6
23127,16,2,80,76,4,0,70,6
21882,16,16,80,76,4,0,62,14
254,16,13,80,76,4,0,70,6
24042,16,16,80,76,4,0,62,14
13166,16,6,80,76,4,0,68,8
3922,16,9,80,76,4,0,67,9
17838,16,11,80,76,4,0,67,9
474,16,5,80,76,4,0,66,10
22086,16,15,80,76,4,0,66,10
4690,16,7,80,76,4,0,67,9
18823,16,15,80,76,4,0,66,10
9210,16,15,80,76,4,0,66,10
4127,16,2,80,76,4,0,70,6
14002,16,4,80,76,4,0,70,6
19431,16,15,80,76,4,0,66,10
3338,16,7,80,76,4,0,67,9
19527,16,2,80,76,4,0,70,6
3802,16,7,80,76,4,0,67,9
13983,16,4,80,76,4,0,70,6
9169,16,5,80,76,4,0,66,10
7263,16,2,80,76,4,0,70,6
9634,16,2,80,76,4,0,70,6
10431,16,10,80,76,4,0,62,14
20193,16,10,80,76,4,0,62,14
12159,16,7,80,76,4,0,67,9
10786,16,5,80,76,4,0,66,10
21183,16,7,80,76,4,0,67,9
13826,16,15,80,76,4,0,66,10
23270,16,7,80,76,4,0,67,9
5451,16,15,80,76,4,0,66,10
1102,16,8,80,76,4,0,67,9
22242,16,5,80,76,4,0,66,10
24279,16,8,80,76,4,0,67,9
2802,16,4,80,76,4,0,70,6
26951,16,4,80,76,4,0,70,6
21922,16,5,80,76,4,0,66,10
25342,16,3,80,76,4,0,60,16
4915,16,9,80,76,4,0,67,9
12437,16,15,80,76,4,0,66,10
516,16,16,80,76,4,0,62,14
1965,16,7,80,76,4,0,67,9
14843,16,16,80,76,4,0,62,14
9054,16,15,80,76,4,0,66,10
21978,16,10,80,76,4,0,62,14
23855,16,2,80,76,4,0,70,6
18553,16,12,80,76,4,0,58,18
6328,16,2,80,76,4,0,70,6
26512,16,4,80,76,4,0,70,6
24777,16,12,80,76,4,0,58,18
23992,16,13,80,76,4,0,70,6
5952,16,2,80,76,4,0,70,6
14568,16,15,80,76,4,0,66,10
10160,16,11,80,76,4,0,67,9
17801,16,2,80,76,4,0,70,6
22519,16,2,80,76,4,0,70,6
20993,16,3,80,76,4,0,60,16
19280,16,6,80,76,4,0,68,8
3017,16,13,80,76,4,0,70,6
21888,16,9,80,76,4,0,67,9
19153,16,4,80,76,4,0,70,6
23615,16,13,80,76,4,0,70,6
8994,16,4,80,76,4,0,70,6
5367,16,9,80,76,4,0,67,9
545,16,16,80,76,4,0,62,14
25519,16,10,80,76,4,0,62,14
5609,16,10,80,76,4,0,62,14
2136,16,3,80,76,4,0,60,16
16865,16,11,80,76,4,0,67,9
